Training / Testing on Set1:
Sample Log Likelihoods:
Mean: -37.1874052632
Training / Testing on Set2:
Sample Log Likelihoods:
Mean: -67.3772007463
Training Set1 / Testing on Set2:
Sample Log Likelihoods:
Mean: -61.2595238806
Training Set2 / Testing on Set1:
Sample Log Likelihoods:
Mean: -72.4043274854
Control1	Eval1	Control2	Eval2
-33.4103	-53.9398	-60.215	-64.7899
-26.4308	-86.5647	-62.9863	-67.2077
-22.6712	-90.191	-68.0571	-63.9133
-43.0864	-56.8224	-60.7334	-58.8818
-19.9709	-111.234	-70.8418	-63.1448
-24.7803	-102.365	-68.8382	-59.6945
-27.2205	-94.4167	-69.2098	-65.3986
-20.7502	-56.794	-56.2483	-61.2956
-21.5164	-59.6996	-53.1046	-64.7244
-24.6607	-96.9753	-85.4265	-65.6885
-36.7792	-55.6131	-58.13	-75.7438
-37.9903	-89.4869	-67.7903	-80.6362
-34.7321	-80.5445	-78.1054	-69.6864
-40.7142	-77.1876	-70.1807	-63.5702
-26.83	-32.2394	-64.2383	-61.7999
-25.1346	-47.6718	-56.4625	-68.8159
-47.1071	-83.7541	-58.188	-72.1842
-48.5478	-51.8009	-50.9136	-69.368
-26.7969	-55.6958	-55.2454	-75.9999
-33.7507	-33.6416	-60.0515	-81.332
-32.8975	-68.3289	-57.733	-71.6787
-28.9749	-42.1361	-49.0606	-67.9925
-43.7337	-55.9312	-60.8685	-69.6904
-42.6621	-39.6947	-77.933	-85.7948
-22.6537	-26.3522	-66.0296	-65.3654
-21.396	-40.9651	-62.5299	-58.9645
-53.9649	-51.1076	-78.8205	-67.4345
-58.5457	-38.2585	-49.1788	-66.984
-38.9612	-36.3184	-68.4375	-78.2573
-26.3941	-27.6191	-66.2444	-56.6275
-16.4966	-62.7387	-62.5916	-57.3564
-50.7333	-36.8044	-68.3278	-79.2728
-29.5199	-96.993	-88.4249	-80.4935
-44.5786	-69.6679	-61.235	-77.698
-48.4598	-93.3283	-68.9141	-56.6694
-31.9326	-55.5186	-65.5658	-84.9337
-30.5379	-94.6925	-70.2134	-76.6224
-37.8544	-66.6421	-62.5897	-65.8124
-42.2137	-57.9828	-60.3076	-65.8792
-38.223	-37.5436	-52.35	-70.0645
-65.5977	-72.4841	-69.0494	-59.3838
